target,n,R2,RMSE,MAE
Abs. λmax (nm),245,0.8717,29.841,20.037
Em. λmax (nm),249,0.8925,26.493,18.821
ΦF (quantum yield),244,0.5374,0.248,0.198
log ε,150,0.4366,0.231,0.175
