target,n,R2,RMSE,MAE
Abs. λmax (nm),245,0.892,27.382,20.321
Em. λmax (nm),249,0.8901,26.79,18.921
ΦF (quantum yield),244,0.3278,0.299,0.24
log ε,150,0.5065,0.217,0.155
