target,n,R2,RMSE,MAE
Abs. λmax (nm),245,0.681,47.053,37.334
Em. λmax (nm),249,0.6537,47.544,38.388
ΦF (quantum yield),244,0.3657,0.291,0.233
log ε,150,0.3268,0.253,0.201
