id,atom_idx,symbol,region,importance,sd
4A,9,C,other,0.4636,0.2114
4A,10,C,other,0.2354,0.0251
4A,11,C,other,0.6402,0.1258
4A,12,C,other,0.2787,0.0368
4A,13,N,pyrrole N,0.44,0.1328
4A,14,B,BF2,0.7062,0.1496
4A,15,F,BF2,0.4288,0.0756
4A,16,F,BF2,0.4288,0.0756
4A,17,C,other,0.505,0.1234
4A,18,C,other,0.2996,0.0618
4A,19,C,other,0.2402,0.0606
4A,20,C,other,0.5941,0.1785
4A,21,C,other,0.2784,0.0178
4A,22,N,pyrrole N,0.4465,0.124
4B,0,C,other,0.5449,0.0316
4B,1,C,other,0.9918,0.0164
4B,2,C,other,0.2352,0.0466
4B,3,C,other,0.1894,0.0259
4B,4,C,other,0.8281,0.1396
4B,5,Br,other,0.4621,0.0773
4B,6,C,other,0.1894,0.0259
4B,7,C,other,0.2352,0.0466
4B,8,C,other,0.4697,0.1988
4B,9,C,other,0.4568,0.2102
4B,10,C,other,0.267,0.0229
4B,11,C,other,0.5931,0.1572
4B,12,C,other,0.3747,0.0634
4B,13,C,other,0.3731,0.0913
4B,14,N,pyrrole N,0.4217,0.1069
4B,15,B,BF2,0.7136,0.147
4B,16,F,BF2,0.4315,0.0782
4B,17,F,BF2,0.4315,0.0782
4B,18,C,other,0.5082,0.1232
4B,19,C,other,0.2681,0.0374
4B,20,C,other,0.2183,0.038
4B,21,C,other,0.6102,0.1545
4B,22,C,other,0.3604,0.0711
4B,23,C,other,0.3742,0.1154
4B,24,N,pyrrole N,0.4599,0.1301
4A-I*,0,C,other,0.5353,0.0282
4A-I*,1,C,other,0.9724,0.036
4A-I*,2,C,other,0.1931,0.041
4A-I*,3,C,other,0.2365,0.0714
4A-I*,4,C,other,0.7477,0.2363
4A-I*,5,I,other,0.5,0.1355
4A-I*,6,C,other,0.2365,0.0714
4A-I*,7,C,other,0.1931,0.041
4A-I*,8,C,other,0.4597,0.203
4A-I*,9,C,other,0.4544,0.2049
4A-I*,10,C,other,0.2318,0.0272
4A-I*,11,C,other,0.6296,0.1251
4A-I*,12,C,other,0.2738,0.035
4A-I*,13,N,pyrrole N,0.4329,0.1327
4A-I*,14,B,BF2,0.698,0.1622
4A-I*,15,F,BF2,0.4205,0.0679
4A-I*,16,F,BF2,0.4205,0.0679
4A-I*,17,C,other,0.495,0.1149
4A-I*,18,C,other,0.2948,0.0608
4A-I*,19,C,other,0.2365,0.0613
4A-I*,20,C,other,0.5831,0.1732
4A-I*,21,C,other,0.2737,0.0173
4A-I*,22,N,pyrrole N,0.4392,0.1238
